time,temperature_2m,wind_speed_10m,surface_pressure,wind_speed_90m,pressure_90m
2024-01-01 00:00:00,18.81,4.5,95.39,6.647045646238481,94.39068986904958
2024-01-01 01:00:00,18.64,4.48,95.31,6.617503221144088,94.31094929177384
2024-01-01 02:00:00,18.56,4.45,95.27,6.573189583502498,94.27109614766955
2024-01-01 03:00:00,18.38,4.07,95.26,6.011883506709026,94.26058755316451
2024-01-01 04:00:00,18.27,3.7,95.29,5.465348642462751,94.28989743875036
2024-01-01 05:00:00,18.28,3.98,95.34,5.878942593784256,94.33940682518039
2024-01-01 06:00:00,18.89,4.87,95.4,7.193580510484756,94.40085744469432
2024-01-01 07:00:00,19.97,5.89,95.42,8.700244190298811,94.42431081282912
2024-01-01 08:00:00,21.41,6.53,95.43,9.645601793319395,94.43904918492542
2024-01-01 09:00:00,23.06,6.8,95.41,10.044424532093704,94.42474708039683
2024-01-01 10:00:00,24.4,6.86,95.38,10.133051807376884,94.39946963443336
2024-01-01 11:00:00,25.36,6.72,95.34,9.92625483171613,94.36301667533057
2024-01-01 12:00:00,26.08,6.55,95.29,9.675144218413788,94.31586655341346
2024-01-01 13:00:00,26.45,6.44,95.25,9.512660880394627,94.27747183680822
2024-01-01 14:00:00,26.36,6.41,95.2,9.468347242753037,94.2276917645858
2024-01-01 15:00:00,25.73,6.35,95.17,9.379719967469855,94.19595983198774
2024-01-01 16:00:00,24.5,6.2,95.18,9.158151779261907,94.20185272288545
2024-01-01 17:00:00,22.89,6.02,95.24,8.892269953412367,94.25594074581895
2024-01-01 18:00:00,21.29,5.65,95.34,8.345735089166093,94.34958236893144
2024-01-01 19:00:00,20.36,5.14,95.44,7.592403249259064,94.44541849210157
2024-01-01 20:00:00,19.97,4.64,95.51,6.853842621899233,94.5133716802904
2024-01-01 21:00:00,19.78,4.24,95.55,6.262994120011369,94.55231097323056
2024-01-01 22:00:00,19.58,3.75,95.55,5.539204705198734,94.55163290228492
2024-01-01 23:00:00,19.49,3.62,95.48,5.347178942085178,94.4820590977961
2024-01-02 00:00:00,19.38,4.17,95.36,6.159595632180992,94.36294049989696
2024-01-02 01:00:00,19.2,4.66,95.27,6.883385046993627,94.27327142563087
2024-01-02 02:00:00,18.92,4.6,95.22,6.794757771710446,94.22284451449138
2024-01-02 03:00:00,18.69,4.67,95.21,6.898156259540823,94.21216758901193
2024-01-02 04:00:00,18.53,4.76,95.24,7.031097172465593,94.24130853005092
2024-01-02 05:00:00,18.42,4.32,95.29,6.381163820388942,94.2904092396491
2024-01-02 06:00:00,18.99,4.69,95.34,6.927698684635217,94.34182583376978
2024-01-02 07:00:00,19.96,5.4,95.36,7.976454775486177,94.36490313048364
2024-01-02 08:00:00,21.29,5.59,95.37,8.257107813882913,94.37927072084112
2024-01-02 09:00:00,22.91,5.54,95.37,8.18325175114693,94.38466375448544
2024-01-02 10:00:00,24.1,5.25,95.34,7.754886587278228,94.35889676497266
2024-01-02 11:00:00,24.99,4.93,95.28,7.282207785767935,94.30242605399208
2024-01-02 12:00:00,25.7,4.92,95.22,7.267436573220738,94.24535076720163
2024-01-02 13:00:00,26.12,5.25,95.18,7.754886587278228,94.20712044873518
2024-01-02 14:00:00,26.15,5.57,95.13,8.22756538878852,94.15772848674885
2024-01-02 15:00:00,25.62,5.57,95.11,8.22756538878852,94.13621736504847
2024-01-02 16:00:00,24.59,5.43,95.11,8.020768413127767,94.13286603114622
2024-01-02 17:00:00,23.14,5.29,95.16,7.813971437467014,94.17759266203554
2024-01-02 18:00:00,21.53,5.08,95.26,7.503775973975885,94.27121519471191
2024-01-02 19:00:00,20.44,4.59,95.39,6.77998655916325,94.39620899723592
2024-01-02 20:00:00,19.83,4.24,95.46,6.262994120011369,94.46341992602737
2024-01-02 21:00:00,19.32,4.34,95.5,6.410706245483334,94.50127292467938
2024-01-02 22:00:00,18.87,4.45,95.5,6.573189583502498,94.49974198398803
2024-01-02 23:00:00,18.61,4.44,95.43,6.558418370955302,94.42958912261773
2024-01-03 00:00:00,18.49,4.38,95.35,6.469791095672121,94.35001865196604
2024-01-03 01:00:00,18.32,4.34,95.28,6.410706245483334,94.28017303293207
2024-01-03 02:00:00,18.18,4.2,95.25,6.203909269822582,94.25001004985683
2024-01-03 03:00:00,18.12,3.9,95.26,5.760772893406683,94.2597001354955
2024-01-03 04:00:00,18.05,3.35,95.32,4.948356203310869,94.31883075136977
2024-01-03 05:00:00,18.05,2.86,95.38,4.224566788498234,94.37820055671054
2024-01-03 06:00:00,18.74,3.69,95.41,5.450577429915554,94.41024190720319
2024-01-03 07:00:00,20.01,4.45,95.4,6.573189583502498,94.40465462550178
2024-01-03 08:00:00,21.6,4.78,95.38,7.0606395975599865,94.39020350984298
2024-01-03 09:00:00,22.81,5.09,95.36,7.518547186523081,94.37443590396693
2024-01-03 10:00:00,24.04,5.18,95.32,7.6514880994478505,94.3389055646895
2024-01-03 11:00:00,25.02,4.9,95.27,7.237894148126347,94.29262649495936
2024-01-03 12:00:00,25.72,4.49,95.23,6.632274433691284,94.25531330376253
2024-01-03 13:00:00,26.19,4.49,95.17,6.632274433691284,94.19744897896854
2024-01-03 14:00:00,26.14,4.56,95.13,6.73567292152166,94.1576961673995
2024-01-03 15:00:00,25.66,4.48,95.12,6.617503221144088,94.14624467904027
2024-01-03 16:00:00,24.76,4.27,95.13,6.307307757652958,94.1532153946093
2024-01-03 17:00:00,23.62,3.92,95.19,5.790315318501077,94.20886419053063
2024-01-03 18:00:00,22.41,3.65,95.27,5.391492579726767,94.28404042352662
2024-01-03 19:00:00,21.49,3.41,95.36,5.036983478594049,94.37004353208575
2024-01-03 20:00:00,20.9,3.22,95.4,4.756330440197313,94.40765151027195
2024-01-03 21:00:00,20.55,3.09,95.41,4.564304677083757,94.4163709725644
2024-01-03 22:00:00,20.2,2.87,95.42,4.239338001045431,94.42508739521325
2024-01-03 23:00:00,19.82,2.74,95.39,4.047312237931875,94.39411689620357
2024-01-04 00:00:00,19.54,2.77,95.32,4.091625875573465,94.32390069029087
2024-01-04 01:00:00,19.41,2.97,95.27,4.387050126517398,94.27398312585136
2024-01-04 02:00:00,19.31,2.93,95.25,4.327965276328611,94.25385351240006
2024-01-04 03:00:00,19.26,2.46,95.28,3.633718286610369,94.28337027221572
2024-01-04 04:00:00,19.28,2.05,95.35,3.0280985721753075,94.3527059255706
2024-01-04 05:00:00,19.29,1.67,95.42,2.466792495381836,94.42200772316384
2024-01-04 06:00:00,19.67,1.93,95.48,2.8508440216089483,94.48266932907751
2024-01-04 07:00:00,20.44,2.44,95.5,3.604175861515976,94.5050629964989
2024-01-04 08:00:00,21.43,2.64,95.49,3.899600112459909,94.49849311181214
2024-01-04 09:00:00,22.38,2.37,95.45,3.5007773736856,94.46207782835643
2024-01-04 10:00:00,23.15,2.32,95.4,3.4269213109496164,94.4151480311203
2024-01-04 11:00:00,23.68,3.11,95.36,4.59384710217815,94.37730962797724
2024-01-04 12:00:00,23.88,3.9,95.34,5.760772893406683,94.35817384982147
2024-01-04 13:00:00,23.72,3.95,95.32,5.834628956142667,94.33785349739561
2024-01-04 14:00:00,23.47,3.74,95.33,5.5244334926515375,94.3469268753866
2024-01-04 15:00:00,23.1,3.54,95.34,5.229009241707605,94.35560218022054
2024-01-04 16:00:00,22.54,3.33,95.36,4.918813778216476,94.3735406380504
2024-01-04 17:00:00,21.82,3.18,95.38,4.697245590008527,94.39093789732347
2024-01-04 18:00:00,21.01,2.99,95.44,4.4165925516117905,94.44760473490561
2024-01-04 19:00:00,20.43,2.7,95.52,3.9882273877430885,94.5248209130171
2024-01-04 20:00:00,20.04,2.38,95.57,3.5155485862327964,94.57298244314228
2024-01-04 21:00:00,19.71,2.48,95.58,3.663260711704763,94.58176043255196
2024-01-04 22:00:00,19.32,2.6,95.57,3.8405152622711225,94.57054087341997
2024-01-04 23:00:00,18.98,2.46,95.53,3.633718286610369,94.52980254771339
2024-01-05 00:00:00,18.74,2.31,95.47,3.41215009840242,94.46961319443126
2024-01-05 01:00:00,18.64,2.41,95.4,3.5598622238743864,94.40000590111451
2024-01-05 02:00:00,18.52,2.45,95.34,3.6189470740631733,94.34022582891845
2024-01-05 03:00:00,18.5,2.41,95.3,3.5598622238743864,94.30057711476533
2024-01-05 04:00:00,18.36,2.55,95.29,3.766659199535139,94.29020458216108
2024-01-05 05:00:00,18.39,2.82,95.31,4.165481938309448,94.31009710018542
2024-01-05 06:00:00,19.87,3.96,95.35,5.849400168689863,94.3547034744452
2024-01-05 07:00:00,21.51,5.26,95.36,7.769657799825424,94.37011037525735
2024-01-05 08:00:00,23.07,6.0,95.36,8.862727528317974,94.3752964773993
2024-01-05 09:00:00,24.32,6.51,95.33,9.616059368225002,94.34972144637399
2024-01-05 10:00:00,25.46,6.94,95.28,10.251221507754458,94.30395680758542
2024-01-05 11:00:00,26.49,7.1,95.22,10.487560908509602,94.24790726546448
2024-01-05 12:00:00,27.28,7.15,95.16,10.561416971245587,94.19106131990864
2024-01-05 13:00:00,27.73,7.14,95.1,10.54664575869839,94.13311310840045
2024-01-05 14:00:00,27.71,7.1,95.06,10.487560908509602,94.09345587048712
2024-01-05 15:00:00,27.13,7.04,95.02,10.398933633226424,94.05200599336622
2024-01-05 16:00:00,26.06,6.84,95.02,10.10350938228249,94.04856212128504
2024-01-05 17:00:00,24.37,6.55,95.07,9.675144218413788,94.09255847165477
2024-01-05 18:00:00,22.2,6.07,95.17,8.966126016148351,94.18437867133362
2024-01-05 19:00:00,20.91,5.52,95.27,8.153709326052535,94.27903729172027
2024-01-05 20:00:00,20.47,5.3,95.34,7.8287426500142105,94.34683086148667
2024-01-05 21:00:00,20.21,5.26,95.41,7.769657799825424,94.41522539532507
2024-01-05 22:00:00,19.89,4.88,95.42,7.208351723031952,94.42404041296751
2024-01-05 23:00:00,19.54,4.34,95.37,6.410706245483334,94.37337818750566
2024-01-06 00:00:00,19.3,3.96,95.3,5.849400168689863,94.3032966997037
