Modelo,R2,MAE,Combinación,Pesos
Ensemble_2,0.8234338611149896,0.42869656729237976,"('MLP', 'LinearRegression')","(np.float64(0.9), np.float64(0.1))"
Ensemble_3,0.8234338611149896,0.42869656729237976,"('MLP', 'Stacking', 'LinearRegression')","(np.float64(0.9), np.float64(0.0), np.float64(0.1))"
Ensemble_4,0.8234338611149896,0.42869656729237976,"('MLP', 'Stacking', 'LinearRegression', 'GradientBoosting')","(np.float64(0.9), np.float64(0.0), np.float64(0.1), np.float64(0.0))"
MLP,0.8229631025327236,0.42805811520513215,,
Stacking,0.7976134631607267,0.45385406941411,,
LinearRegression,0.7907556203953354,0.5006103436022775,,
GradientBoosting,0.7880636064060401,0.46192335110615645,,
CatBoost,0.7821340112455664,0.46817905010950517,,
LightGBM,0.7816424995084442,0.46495804411537567,,
XGB,0.7800482296828504,0.466565928067758,,
ExtraTrees,0.7751629904329357,0.4766299464682744,,
HistGB,0.7718876180819159,0.4756257652053856,,
RandomForest,0.7706719430177363,0.4712486204891398,,
Bagging,0.7695395307191315,0.47194391535341695,,
